# m1 m2 a1x a1y a1z a2x a2y a2z mc eta indx  Npts ra dec tref phiorb incl psi  dist p ps lnL mtotal q  lambda1 lambda2
93.837206 34.557171 0.0 0.0 0.63665817 0.0 0.0 -0.87776308 48.3992630887 0.196707646158 62 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 128.394377 0.368267262774 0.0 0.0
74.936979 32.372228 0.0 0.0 0.099395119 0.0 0.0 0.30166935 42.1496396255 0.210666170405 63 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 107.309207 0.431992701494 0.0 0.0
63.164663 59.321103 0.0 0.0 0.5422652 0.0 0.0 0.18520304 53.2835210731 0.249753829451 64 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 122.485766 0.939150154256 0.0 0.0
67.132407 47.164557 0.0 0.0 -0.0226713 0.0 0.0 0.55947192 48.833949322 0.242369847282 65 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 114.296964 0.702560195704 0.0 0.0
72.820055 41.115573 0.0 0.0 0.010917084 0.0 0.0 0.50177579 47.2522507289 0.230641922172 66 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 113.935628 0.564618812771 0.0 0.0
77.827061 46.553508 0.0 0.0 0.36747775 0.0 0.0 0.24866047 52.0594191111 0.23419518637 67 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 124.380569 0.598166080048 0.0 0.0
79.721717 51.548253 0.0 0.0 0.29028915 0.0 0.0 0.94691412 55.544527902 0.238484316172 68 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 131.26997 0.646602393172 0.0 0.0
75.968216 42.506343 0.0 0.0 0.45971004 0.0 0.0 -0.13598938 49.0598687423 0.23005700868 69 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 118.474559 0.559527987336 0.0 0.0
67.170698 60.113441 0.0 0.0 0.37335586 0.0 0.0 0.39842728 55.3013854892 0.249231465626 70 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 127.284139 0.894935482135 0.0 0.0
78.382739 56.167314 0.0 0.0 0.5856474 0.0 0.0 0.3109637 57.6030766267 0.243184754346 71 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 134.550053 0.716577587318 0.0 0.0
